Notes,State,State Code,Year,Year Code,Sex,Sex Code,Race,Race Code,Age Group,Age Group Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,Alabama,1,2009,2009,Male,M,Black or African American,2054-5,60-64 years ,60-64,58,24457,237.2,180.1,306.6,31.1
,Alabama,1,2009,2009,Male,M,Black or African American,2054-5,65-69 years,65-69,57,16320,349.3,264.5,452.5,46.3
,Alabama,1,2009,2009,Male,M,Black or African American,2054-5,70-74 years,70-74,46,11707,392.9,287.7,524.1,57.9
,Alabama,1,2009,2009,Male,M,Black or African American,2054-5,75-79 years,75-79,47,7949,591.3,434.4,786.3,86.2
,Alabama,1,2009,2009,Male,M,Black or African American,2054-5,80-84 years,80-84,30,4777,628,423.7,896.5,114.7
,Alabama,1,2009,2009,Male,M,Black or African American,2054-5,85+ years,85+,28,3619,773.7,514.1,1118.2,146.2
,Alabama,1,2009,2009,Male,M,White,2106-3,45-49 years,45-49,32,126630,25.3,17.3,35.7,4.5
,Alabama,1,2009,2009,Male,M,White,2106-3,50-54 years,50-54,88,123912,71,57,87.5,7.6
,Alabama,1,2009,2009,Male,M,White,2106-3,55-59 years,55-59,156,110833,140.8,119.5,164.7,11.3
,Alabama,1,2009,2009,Male,M,White,2106-3,60-64 years ,60-64,235,100511,233.8,204.9,265.7,15.3
,Alabama,1,2009,2009,Male,M,White,2106-3,65-69 years,65-69,266,78510,338.8,299.3,382.1,20.8
,Alabama,1,2009,2009,Male,M,White,2106-3,70-74 years,70-74,258,58625,440.1,388,497.2,27.4
,Alabama,1,2009,2009,Male,M,White,2106-3,75-79 years,75-79,253,43059,587.6,517.4,664.6,36.9
,Alabama,1,2009,2009,Male,M,White,2106-3,80-84 years,80-84,189,28349,666.7,575,768.8,48.5
,Alabama,1,2009,2009,Male,M,White,2106-3,85+ years,85+,118,18420,640.6,530.2,767.2,59
,Alabama,1,2010,2010,Female,F,Black or African American,2054-5,50-54 years,50-54,16,48725,32.8,18.8,53.3,8.2
,Alabama,1,2010,2010,Female,F,Black or African American,2054-5,55-59 years,55-59,31,42243,73.4,49.9,104.2,13.2
,Alabama,1,2010,2010,Female,F,Black or African American,2054-5,60-64 years ,60-64,27,31996,84.4,55.6,122.8,16.2
,Alabama,1,2010,2010,Female,F,Black or African American,2054-5,65-69 years,65-69,30,21618,138.8,93.6,198.1,25.3
,Alabama,1,2010,2010,Female,F,Black or African American,2054-5,70-74 years,70-74,20,17026,117.5,71.8,181.4,26.3
,Alabama,1,2010,2010,Female,F,Black or African American,2054-5,75-79 years,75-79,22,13300,165.4,103.7,250.4,35.3
